U+1919  ,ᤙ  ,LIMBU LETTER SHA
U+191A  ,ᤚ  ,LIMBU LETTER SSA
U+191B  ,ᤛ  ,LIMBU LETTER SA
U+191C  ,ᤜ  ,LIMBU LETTER HA
U+191D  ,ᤝ  ,LIMBU LETTER GYAN
U+191E  ,ᤞ  ,LIMBU LETTER TRA
U+1920  ,ᤠ   ,LIMBU VOWEL SIGN A
U+1921  ,ᤡ   ,LIMBU VOWEL SIGN I
U+1922  ,ᤢ   ,LIMBU VOWEL SIGN U
U+1923  ,ᤣ  ,LIMBU VOWEL SIGN EE
U+1924  ,ᤤ  ,LIMBU VOWEL SIGN AI
U+1925  ,ᤥ  ,LIMBU VOWEL SIGN OO
U+1926  ,ᤦ  ,LIMBU VOWEL SIGN AU
U+1927  ,ᤧ   ,LIMBU VOWEL SIGN E
U+1928  ,ᤨ   ,LIMBU VOWEL SIGN O
U+1929  ,ᤩ  ,LIMBU SUBJOINED LETTER YA
U+192A  ,ᤪ  ,LIMBU SUBJOINED LETTER RA
U+192B  ,ᤫ  ,LIMBU SUBJOINED LETTER WA
U+1930  ,ᤰ  ,LIMBU SMALL LETTER KA
U+1931  ,ᤱ  ,LIMBU SMALL LETTER NGA
U+1932  ,ᤲ   ,LIMBU SMALL LETTER ANUSVARA
U+1933  ,ᤳ  ,LIMBU SMALL LETTER TA
U+1934  ,ᤴ  ,LIMBU SMALL LETTER NA
U+1935  ,ᤵ  ,LIMBU SMALL LETTER PA
U+1936  ,ᤶ  ,LIMBU SMALL LETTER MA
U+1937  ,ᤷ  ,LIMBU SMALL LETTER RA
U+1938  ,ᤸ  ,LIMBU SMALL LETTER LA
U+1939  ,᤹   ,LIMBU SIGN MUKPHRENG
U+193A  ,᤺   ,LIMBU SIGN KEMPHRENG
U+193B  ,᤻   ,LIMBU SIGN SA-I
U+1940  ,᥀  ,LIMBU SIGN LOO
U+1944  ,᥄  ,LIMBU EXCLAMATION MARK
U+1945  ,᥅  ,LIMBU QUESTION MARK
U+1946  ,᥆  ,LIMBU DIGIT ZERO
U+1947  ,᥇  ,LIMBU DIGIT ONE
U+1948  ,᥈  ,LIMBU DIGIT TWO
U+1949  ,᥉  ,LIMBU DIGIT THREE
U+194A  ,᥊  ,LIMBU DIGIT FOUR
U+194B  ,᥋  ,LIMBU DIGIT FIVE
U+194C  ,᥌  ,LIMBU DIGIT SIX
U+194D  ,᥍  ,LIMBU DIGIT SEVEN
U+194E  ,᥎  ,LIMBU DIGIT EIGHT
U+194F  ,᥏  ,LIMBU DIGIT NINE

U+1A20  ,ᨠ  ,TAI THAM LETTER HIGH KA
U+1A21  ,ᨡ  ,TAI THAM LETTER HIGH KHA
U+1A22  ,ᨢ  ,TAI THAM LETTER HIGH KXA
U+1A23  ,ᨣ  ,TAI THAM LETTER LOW KA
U+1A24  ,ᨤ  ,TAI THAM LETTER LOW KXA
U+1A25  ,ᨥ  ,TAI THAM LETTER LOW KHA
U+1A26  ,ᨦ  ,TAI THAM LETTER NGA
U+1A27  ,ᨧ  ,TAI THAM LETTER HIGH CA
U+1A28  ,ᨨ  ,TAI THAM LETTER HIGH CHA
U+1A29  ,ᨩ  ,TAI THAM LETTER LOW CA
U+1A2A  ,ᨪ  ,TAI THAM LETTER LOW SA
U+1A2B  ,ᨫ  ,TAI THAM LETTER LOW CHA
U+1A2C  ,ᨬ  ,TAI THAM LETTER NYA
U+1A2D  ,ᨭ  ,TAI THAM LETTER RATA
U+1A2E  ,ᨮ  ,TAI THAM LETTER HIGH RATHA
U+1A2F  ,ᨯ  ,TAI THAM LETTER DA
U+1A30  ,ᨰ  ,TAI THAM LETTER LOW RATHA
U+1A31  ,ᨱ  ,TAI THAM LETTER RANA
U+1A32  ,ᨲ  ,TAI THAM LETTER HIGH TA
U+1A33  ,ᨳ  ,TAI THAM LETTER HIGH THA
U+1A34  ,ᨴ  ,TAI THAM LETTER LOW TA
U+1A35  ,ᨵ  ,TAI THAM LETTER LOW THA
U+1A36  ,ᨶ  ,TAI THAM LETTER NA
U+1A37  ,ᨷ  ,TAI THAM LETTER BA
U+1A38  ,ᨸ  ,TAI THAM LETTER HIGH PA
U+1A39  ,ᨹ  ,TAI THAM LETTER HIGH PHA
U+1A3A  ,ᨺ  ,TAI THAM LETTER HIGH FA
U+1A3B  ,ᨻ  ,TAI THAM LETTER LOW PA
U+1A3C  ,ᨼ  ,TAI THAM LETTER LOW FA
U+1A3D  ,ᨽ  ,TAI THAM LETTER LOW PHA
U+1A3E  ,ᨾ  ,TAI THAM LETTER MA
U+1A3F  ,ᨿ  ,TAI THAM LETTER LOW YA
U+1A40  ,ᩀ  ,TAI THAM LETTER HIGH YA
U+1A41  ,ᩁ  ,TAI THAM LETTER RA
U+1A42  ,ᩂ  ,TAI THAM LETTER RUE
U+1A43  ,ᩃ  ,TAI THAM LETTER LA
U+1A44  ,ᩄ  ,TAI THAM LETTER LUE
U+1A45  ,ᩅ  ,TAI THAM LETTER WA
U+1A46  ,ᩆ  ,TAI THAM LETTER HIGH SHA
U+1A47  ,ᩇ  ,TAI THAM LETTER HIGH SSA
U+1A48  ,ᩈ  ,TAI THAM LETTER HIGH SA
U+1A49  ,ᩉ  ,TAI THAM LETTER HIGH HA
U+1A4A  ,ᩊ  ,TAI THAM LETTER LLA
U+1A4B  ,ᩋ  ,TAI THAM LETTER A
U+1A4C  ,ᩌ  ,TAI THAM LETTER LOW HA
U+1A4D  ,ᩍ  ,TAI THAM LETTER I
U+1A4E  ,ᩎ  ,TAI THAM LETTER II
U+1A4F  ,ᩏ  ,TAI THAM LETTER U
U+1A50  ,ᩐ  ,TAI THAM LETTER UU
U+1A51  ,ᩑ  ,TAI THAM LETTER EE
U+1A52  ,ᩒ  ,TAI THAM LETTER OO
U+1A53  ,ᩓ  ,TAI THAM LETTER LAE
U+1A54  ,ᩔ  ,TAI THAM LETTER GREAT SA
U+1A55  ,ᩕ  ,TAI THAM CONSONANT SIGN MEDIAL RA
U+1A56  ,ᩖ  ,TAI THAM CONSONANT SIGN MEDIAL LA
U+1A57  ,ᩗ  ,TAI THAM CONSONANT SIGN LA TANG LAI
U+1A58  ,ᩘ  ,TAI THAM SIGN MAI KANG LAI
U+1A59  ,ᩙ  ,TAI THAM CONSONANT SIGN FINAL NGA
U+1A5A  ,ᩚ  ,TAI THAM CONSONANT SIGN LOW PA
U+1A5B  ,ᩛ  ,TAI THAM CONSONANT SIGN HIGH RATHA OR LOW PA
U+1A5C  ,ᩜ  ,TAI THAM CONSONANT SIGN MA
U+1A5D  ,ᩝ  ,TAI THAM CONSONANT SIGN BA
U+1A5E  ,ᩞ  ,TAI THAM CONSONANT SIGN SA
U+1A60  ,᩠  ,TAI THAM SIGN SAKOT
U+1A61  ,ᩡ  ,TAI THAM VOWEL SIGN A
U+1A62  ,ᩢ  ,TAI THAM VOWEL SIGN MAI SAT
U+1A63  ,ᩣ  ,TAI THAM VOWEL SIGN AA
U+1A64  ,ᩤ  ,TAI THAM VOWEL SIGN TALL AA
U+1A65  ,ᩥ  ,TAI THAM VOWEL SIGN I
U+1A66  ,ᩦ  ,TAI THAM VOWEL SIGN II
U+1A67  ,ᩧ  ,TAI THAM VOWEL SIGN UE
U+1A68  ,ᩨ  ,TAI THAM VOWEL SIGN UUE
U+1A69  ,ᩩ  ,TAI THAM VOWEL SIGN U
U+1A6A  ,ᩪ  ,TAI THAM VOWEL SIGN UU
U+1A6B  ,ᩫ  ,TAI THAM VOWEL SIGN O
U+1A6C  ,ᩬ  ,TAI THAM VOWEL SIGN OA BELOW
U+1A6D  ,ᩭ  ,TAI THAM VOWEL SIGN OY
U+1A6E  ,ᩮ  ,TAI THAM VOWEL SIGN E
U+1A6F  ,ᩯ  ,TAI THAM VOWEL SIGN AE
U+1A70  ,ᩰ  ,TAI THAM VOWEL SIGN OO
U+1A71  ,ᩱ  ,TAI THAM VOWEL SIGN AI
U+1A72  ,ᩲ  ,TAI THAM VOWEL SIGN THAM AI
U+1A73  ,ᩳ  ,TAI THAM VOWEL SIGN OA ABOVE
U+1A74  ,ᩴ  ,TAI THAM SIGN MAI KANG
U+1A75  ,᩵  ,TAI THAM SIGN TONE-1
U+1A76  ,᩶  ,TAI THAM SIGN TONE-2
U+1A77  ,᩷  ,TAI THAM SIGN KHUEN TONE-3
U+1A78  ,᩸  ,TAI THAM SIGN KHUEN TONE-4
U+1A79  ,᩹  ,TAI THAM SIGN KHUEN TONE-5
U+1A7A  ,᩺  ,TAI THAM SIGN RA HAAM
U+1A7B  ,᩻  ,TAI THAM SIGN MAI SAM
U+1A7C  ,᩼  ,TAI THAM SIGN KHUEN-LUE KARAN
U+1A7F  ,᩿  ,TAI THAM COMBINING CRYPTOGRAMMIC DOT
U+1A80  ,᪀  ,TAI THAM HORA DIGIT ZERO
U+1A81  ,᪁  ,TAI THAM HORA DIGIT ONE
U+1A82  ,᪂  ,TAI THAM HORA DIGIT TWO
U+1A83  ,᪃  ,TAI THAM HORA DIGIT THREE
U+1A84  ,᪄  ,TAI THAM HORA DIGIT FOUR
U+1A85  ,᪅  ,TAI THAM HORA DIGIT FIVE
U+1A86  ,᪆  ,TAI THAM HORA DIGIT SIX
U+1A87  ,᪇  ,TAI THAM HORA DIGIT SEVEN
U+1A88  ,᪈  ,TAI THAM HORA DIGIT EIGHT
U+1A89  ,᪉  ,TAI THAM HORA DIGIT NINE
U+1A90  ,᪐  ,TAI THAM THAM DIGIT ZERO
U+1A91  ,᪑  ,TAI THAM THAM DIGIT ONE
U+1A92  ,᪒  ,TAI THAM THAM DIGIT TWO
U+1A93  ,᪓  ,TAI THAM THAM DIGIT THREE
U+1A94  ,᪔  ,TAI THAM THAM DIGIT FOUR
U+1A95  ,᪕  ,TAI THAM THAM DIGIT FIVE
U+1A96  ,᪖  ,TAI THAM THAM DIGIT SIX
U+1A97  ,᪗  ,TAI THAM THAM DIGIT SEVEN
U+1A98  ,᪘  ,TAI THAM THAM DIGIT EIGHT
U+1A99  ,᪙  ,TAI THAM THAM DIGIT NINE
U+1AA0  ,᪠  ,TAI THAM SIGN WIANG
U+1AA1  ,᪡  ,TAI THAM SIGN WIANGWAAK
U+1AA2  ,᪢  ,TAI THAM SIGN SAWAN
U+1AA3  ,᪣  ,TAI THAM SIGN KEOW
U+1AA4  ,᪤  ,TAI THAM SIGN HOY
U+1AA5  ,᪥  ,TAI THAM SIGN DOKMAI
U+1AA6  ,᪦  ,TAI THAM SIGN REVERSED ROTATED RANA
U+1AA7  ,ᪧ  ,TAI THAM SIGN MAI YAMOK
U+1AA8  ,᪨  ,TAI THAM SIGN KAAN
U+1AA9  ,᪩  ,TAI THAM SIGN KAANKUU
U+1AAA  ,᪪  ,TAI THAM SIGN SATKAAN
U+1AAB  ,᪫  ,TAI THAM SIGN SATKAANKUU
U+1AAC  ,᪬  ,TAI THAM SIGN HANG
U+1AAD  ,᪭  ,TAI THAM SIGN CAANG

U+1B00  ,ᬀ   ,BALINESE SIGN ULU RICEM
U+1B01  ,ᬁ   ,BALINESE SIGN ULU CANDRA
U+1B02  ,ᬂ   ,BALINESE SIGN CECEK
U+1B03  ,ᬃ   ,BALINESE SIGN SURANG
U+1B04  ,ᬄ  ,BALINESE SIGN BISAH
U+1B05  ,ᬅ  ,BALINESE LETTER AKARA
U+1B06  ,ᬆ  ,BALINESE LETTER AKARA TEDUNG
U+1B07  ,ᬇ  ,BALINESE LETTER IKARA
U+1B08  ,ᬈ  ,BALINESE LETTER IKARA TEDUNG
U+1B09  ,ᬉ  ,BALINESE LETTER UKARA
U+1B0A  ,ᬊ  ,BALINESE LETTER UKARA TEDUNG
U+1B0B  ,ᬋ  ,BALINESE LETTER RA REPA
U+1B0C  ,ᬌ  ,BALINESE LETTER RA REPA TEDUNG
U+1B0D  ,ᬍ  ,BALINESE LETTER LA LENGA
U+1B0E  ,ᬎ  ,BALINESE LETTER LA LENGA TEDUNG
U+1B0F  ,ᬏ  ,BALINESE LETTER EKARA
U+1B10  ,ᬐ  ,BALINESE LETTER AIKARA
U+1B11  ,ᬑ  ,BALINESE LETTER OKARA
